,BMI,FSH(mIU/mL),LH(mIU/mL),FSH/LH,TSH (mIU/L),AMH(ng/mL),Follicle No. (L),Follicle No. (R),Waist:Hip Ratio,Weight (Kg),RBS(mg/dl)
BMI,1.0,0.03867650448989324,-0.01587481771371399,-0.00011126875194369872,0.047457358185592165,0.062176544938219336,0.1462831116233046,0.10613077824990008,0.031051087810883178,0.9015433566869748,0.09554164606509356
FSH(mIU/mL),0.03867650448989324,1.0,0.23739817150039305,0.17347067673756877,-0.021693578764446005,0.0498059675035227,-0.046807783014132825,0.015842891107206637,0.0032205524740052663,0.007495568203293903,-0.007051171924287753
LH(mIU/mL),-0.01587481771371399,0.23739817150039305,1.0,-0.4698878843010272,0.02773004200198434,0.2418537265579064,0.0035220583642603053,1.1984006410660677e-05,-0.00917430395338899,-0.0008971909577593734,0.023638336629470607
FSH/LH,-0.00011126875194369872,0.17347067673756877,-0.4698878843010272,1.0,-0.050559704630736196,-0.07605933913402392,-0.03130489521857185,0.002682885477618783,0.0035999756549041475,-0.016696862321828574,-0.08015351484249471
TSH (mIU/L),0.047457358185592165,-0.021693578764446005,0.02773004200198434,-0.050559704630736196,1.0,0.024787074630768173,0.008601258465609694,0.017796081572534744,-0.027619160803571963,0.047455143160609205,-0.018694063376311187
AMH(ng/mL),0.062176544938219336,0.0498059675035227,0.2418537265579064,-0.07605933913402392,0.024787074630768173,1.0,0.2207302564414378,0.19730675947317144,0.04435755095443836,0.03565445322016129,0.030681798798842676
Follicle No. (L),0.1462831116233046,-0.046807783014132825,0.0035220583642603053,-0.03130489521857185,0.008601258465609694,0.2207302564414378,1.0,0.7993590212814681,0.018977851363153178,0.17677977624627106,0.04321852741942941
Follicle No. (R),0.10613077824990008,0.015842891107206637,1.1984006410660677e-05,0.002682885477618783,0.017796081572534744,0.19730675947317144,0.7993590212814681,1.0,-0.007438846870274292,0.12631728938505588,0.027115247183965237
Waist:Hip Ratio,0.031051087810883178,0.0032205524740052663,-0.00917430395338899,0.0035999756549041475,-0.027619160803571963,0.04435755095443836,0.018977851363153178,-0.007438846870274292,1.0,0.01887946629003214,0.0240380090783149
Weight (Kg),0.9015433566869748,0.007495568203293903,-0.0008971909577593734,-0.016696862321828574,0.047455143160609205,0.03565445322016129,0.17677977624627106,0.12631728938505588,0.01887946629003214,1.0,0.11568503081111771
RBS(mg/dl),0.09554164606509356,-0.007051171924287753,0.023638336629470607,-0.08015351484249471,-0.018694063376311187,0.030681798798842676,0.04321852741942941,0.027115247183965237,0.0240380090783149,0.11568503081111771,1.0
